men,0
men,0.45
men,0.73
men,0
men,0
men,0
men,0.36
men,0.33
men,0
men,0
men,0
men,0
men,0
men,0
men,0
men,0
men,0
men,0.35
men,0
men,0
men,0
men,0.06
men,0
men,0
men,0
men,0
men,0
men,0.4
men,0
men,0.75
men,0
men,0
men,0
men,1
men,0
men,0
men,0
men,0
men,0.415
men,0.57
men,0
men,0
men,0
men,0
men,0.64375
men,0
men,0.47
men,0
men,0.45
men,0
men,0
men,0
men,0
men,0
men,0
men,0
men,0
men,0.34
men,0
men,0
men,0.44
men,0
men,0
men,0
men,0
men,0
men,0
men,0
men,0
men,0
men,0.23
men,1
men,0
men,0.3
men,0
men,0
men,0.525
men,0.17
men,0.3
men,0.77
men,0
men,0
men,0
men,0
men,0
men,0.55
men,0
men,0.4
men,0
men,0
men,0.46
men,0
men,0
men,0
men,0
men,0
men,0.758
men,0
men,0.4
men,0.25
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
